25,coarse,THUSAM-D-C-1A,FRDC-D-C-1A,椰岛造型,-1,0,-1,0.775,0.0
25,fine,THUSAM-D-C-1A,FRDC-D-C-1A,椰岛造型,-1,0,-1,0.751,0.0
26,coarse,THUSAM-D-C-1A,FRDC-D-C-1A,野葛根,0,0,1,0.7667,0.8093
28,coarse,THUSAM-D-C-1A,FRDC-D-C-1A,卫子夫,3,0,3,0.6953,0.8084
28,fine,THUSAM-D-C-1A,FRDC-D-C-1A,卫子夫,3,0,3,0.3897,0.5495
29,coarse,THUSAM-D-C-1A,FRDC-D-C-1A,佛教音乐,1,0,-2,0.8639,0.0
29,fine,THUSAM-D-C-1A,FRDC-D-C-1A,佛教音乐,1,0,-2,0.8224,0.0
30,coarse,THUSAM-D-C-1A,FRDC-D-C-1A,浏览器下载,1,1,0,0.8907,0.9512
30,fine,THUSAM-D-C-1A,FRDC-D-C-1A,浏览器下载,1,1,0,0.5855,0.6904
1,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,先知,-4,-1,1,0.7238,0.6589
2,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,波斯猫,4,2,0,0.3816,0.7139
2,fine,THUSAM-D-C-1A,FRDC-D-C-2A,波斯猫,4,2,0,0.2616,0.6259
4,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,Adobe,-2,-1,1,0.9321,0.3392
4,fine,THUSAM-D-C-1A,FRDC-D-C-2A,Adobe,-2,-1,1,0.8166,0.2635
10,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,舍得,-4,0,-1,0.803,0.6042
10,fine,THUSAM-D-C-1A,FRDC-D-C-2A,舍得,-4,0,-1,0.6788,0.4274
12,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,三字经,-1,-1,-2,0.8945,0.321
12,fine,THUSAM-D-C-1A,FRDC-D-C-2A,三字经,-1,-1,-2,0.6677,0.1043
16,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,程序员,-1,1,-2,0.5938,0.0
16,fine,THUSAM-D-C-1A,FRDC-D-C-2A,程序员,-1,1,-2,0.575,0.0
17,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,泰国特产,4,2,4,0.448,0.5773
17,fine,THUSAM-D-C-1A,FRDC-D-C-2A,泰国特产,4,2,4,0.2866,0.5126
20,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,浴缸,-2,-1,2,0.9785,0.0
20,fine,THUSAM-D-C-1A,FRDC-D-C-2A,浴缸,-2,-1,2,0.8043,0.0
22,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,三星,-2,0,0,0.8823,0.4566
22,fine,THUSAM-D-C-1A,FRDC-D-C-2A,三星,-2,0,0,0.7569,0.4162
23,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,饥饿游戏,4,3,4,0.0,0.0
23,fine,THUSAM-D-C-1A,FRDC-D-C-2A,饥饿游戏,4,3,4,0.0,0.0
25,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,椰岛造型,-2,-1,-1,0.775,0.0
25,fine,THUSAM-D-C-1A,FRDC-D-C-2A,椰岛造型,-2,-1,-1,0.751,0.0
26,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,野葛根,1,2,-2,0.7667,0.7669
27,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,秧歌,-3,-1,-1,0.907,0.9018
27,fine,THUSAM-D-C-1A,FRDC-D-C-2A,秧歌,-3,-1,-1,0.9378,0.9222
28,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,卫子夫,4,1,4,0.6953,0.6985
29,coarse,THUSAM-D-C-1A,FRDC-D-C-2A,佛教音乐,1,-1,-2,0.8639,0.0
29,fine,THUSAM-D-C-1A,FRDC-D-C-2A,佛教音乐,1,-1,-2,0.8224,0.0
30,fine,THUSAM-D-C-1A,FRDC-D-C-2A,浏览器下载,4,1,1,0.5855,0.5876
2,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,波斯猫,-2,0,-2,0.2616,0.234
4,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,Adobe,0,1,-1,0.9321,0.586
4,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,Adobe,0,1,-1,0.8166,0.3013
8,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,云轩,0,-1,-2,1.0,0.5448
8,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,云轩,0,-1,-2,1.0,0.5448
10,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,舍得,-1,1,-1,0.803,0.6071
10,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,舍得,-1,1,-1,0.6788,0.4851
18,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,科学美国人,-2,0,-1,0.8235,0.6887
18,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,科学美国人,-2,0,-1,0.7367,0.4833
20,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,浴缸,0,0,-1,0.9785,0.4271
20,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,浴缸,0,0,-1,0.8043,0.1925
22,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,三星,-1,0,0,0.8823,0.1932
22,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,三星,-1,0,0,0.7569,0.1911
23,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,饥饿游戏,-1,1,1,0.0,0.0
23,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,饥饿游戏,-1,1,1,0.0,0.0
25,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,椰岛造型,-1,0,0,0.775,0.3302
25,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,椰岛造型,-1,0,0,0.751,0.2293
31,coarse,THUSAM-D-C-1A,THUSAM-D-C-2A,相亲节目有哪些,0,0,0,0.6751,0.0
31,fine,THUSAM-D-C-1A,THUSAM-D-C-2A,相亲节目有哪些,0,0,0,0.439,0.0
1,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,先知,-1,3,3,0.6221,0.6913
1,fine,THUSAM-D-C-2A,FRDC-D-C-1A,先知,-1,3,3,0.4901,0.7303
4,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,Adobe,1,4,3,0.586,0.7116
4,fine,THUSAM-D-C-2A,FRDC-D-C-1A,Adobe,1,4,3,0.3013,0.4571
7,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,中国水电,1,-1,1,0.0,0.0
7,fine,THUSAM-D-C-2A,FRDC-D-C-1A,中国水电,1,-1,1,0.0,0.0
8,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,云轩,1,-1,0,0.5448,0.6266
8,fine,THUSAM-D-C-2A,FRDC-D-C-1A,云轩,1,-1,0,0.5448,0.6266
9,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,遮天,-3,-3,-2,0.5444,0.0
9,fine,THUSAM-D-C-2A,FRDC-D-C-1A,遮天,-3,-3,-2,0.3783,0.0
10,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,舍得,1,4,1,0.6071,0.6315
12,coarse,THUSAM-D-C-2A,FRDC-D-C-1A,三字经,-2,1,1,0.311,0.321
12,fine,THUSAM-D-C-2A,FRDC-D-C-1A,三字经,-2,1,1,0.0941,0.1043
