runname,id,nDCG@0020,D#nDCG@0020,I-rec@0020
THUSAM-D-C-1B,0013,0.6374,0.8167,1.0
THUSAM-D-C-1B,0014,0.5602,0.6598,0.75
THUSAM-D-C-1B,0015,0.6414,0.836,1.0
THUSAM-D-C-1B,0016,0.7976,0.5947,0.4
THUSAM-D-C-1B,0017,0.2216,0.4502,0.6667
THUSAM-D-C-1B,0018,0.6525,0.8221,1.0
THUSAM-D-C-1B,0019,0.6459,0.8119,1.0
THUSAM-D-C-1B,0020,0.9492,0.9784,1.0
THUSAM-D-C-1B,0021,0.4625,0.7185,1.0
THUSAM-D-C-1B,0022,0.7512,0.8823,1.0
THUSAM-D-C-1B,0023,0.0,0.0,0.0
THUSAM-D-C-1B,0024,0.7945,0.9148,1.0
THUSAM-D-C-1B,0025,0.5818,0.775,1.0
THUSAM-D-C-1B,0026,0.7053,0.7444,0.8
THUSAM-D-C-1B,0027,0.8165,0.907,1.0
THUSAM-D-C-1B,0028,0.4037,0.6961,1.0
THUSAM-D-C-1B,0029,0.7476,0.8639,1.0
THUSAM-D-C-1B,0030,0.7782,0.8902,1.0
THUSAM-D-C-1B,0031,0.3145,0.6751,1.0
THUSAM-D-C-1B,0032,0.9811,0.8239,0.6667
FRDC-D-C-4A,0001,0.2653,0.4753,0.6667
FRDC-D-C-4A,0002,0.465,0.7292,1.0
FRDC-D-C-4A,0003,0.0,0.0,0.0
FRDC-D-C-4A,0004,0.0,0.0,0.0
FRDC-D-C-4A,0005,0.0,0.0,0.0
FRDC-D-C-4A,0006,0.0,0.0,0.0
FRDC-D-C-4A,0007,0.0,0.0,0.0
FRDC-D-C-4A,0008,0.0,0.0,0.0
FRDC-D-C-4A,0009,0.0,0.0,0.0
FRDC-D-C-4A,0010,0.5415,0.5071,0.5
FRDC-D-C-4A,0011,0.4346,0.5276,0.6667
FRDC-D-C-4A,0012,0.128,0.321,0.5
FRDC-D-C-4A,0013,0.9704,0.9839,1.0
FRDC-D-C-4A,0014,0.0,0.0,0.0
FRDC-D-C-4A,0015,0.2179,0.265,0.3333
FRDC-D-C-4A,0016,0.0,0.0,0.0
FRDC-D-C-4A,0017,0.4218,0.5335,0.6667
FRDC-D-C-4A,0018,0.0,0.0,0.0
FRDC-D-C-4A,0019,0.0,0.0,0.0
FRDC-D-C-4A,0020,0.0,0.0,0.0
FRDC-D-C-4A,0021,0.5344,0.7492,1.0
FRDC-D-C-4A,0022,0.3012,0.2641,0.25
FRDC-D-C-4A,0023,0.0,0.0,0.0
FRDC-D-C-4A,0024,0.3197,0.6419,1.0
FRDC-D-C-4A,0025,0.0,0.0,0.0
FRDC-D-C-4A,0026,0.6908,0.7427,0.8
FRDC-D-C-4A,0027,0.8034,0.8986,1.0
FRDC-D-C-4A,0028,0.516,0.7442,1.0
FRDC-D-C-4A,0029,0.0,0.0,0.0
FRDC-D-C-4A,0030,0.796,0.8965,1.0
FRDC-D-C-4A,0031,0.1758,0.3135,0.5
FRDC-D-C-4A,0032,0.4303,0.5285,0.6667
THUSAM-D-C-2A,0001,0.2334,0.6221,1.0
THUSAM-D-C-2A,0002,0.1151,0.3836,0.6667
THUSAM-D-C-2A,0003,0.1016,0.5546,1.0
THUSAM-D-C-2A,0004,0.1797,0.586,1.0
THUSAM-D-C-2A,0005,0.0237,0.138,0.25
THUSAM-D-C-2A,0006,0.0478,0.2772,0.5
THUSAM-D-C-2A,0007,0.0,0.0,0.0
THUSAM-D-C-2A,0008,0.128,0.5448,1.0
THUSAM-D-C-2A,0009,0.0863,0.5444,1.0
THUSAM-D-C-2A,0010,0.211,0.6071,1.0
THUSAM-D-C-2A,0011,0.4157,0.7223,1.0
THUSAM-D-C-2A,0012,0.1154,0.311,0.5
THUSAM-D-C-2A,0013,0.2743,0.3936,0.5
THUSAM-D-C-2A,0014,0.0344,0.1434,0.25
THUSAM-D-C-2A,0015,0.0915,0.3815,0.6667
THUSAM-D-C-2A,0016,0.0714,0.1358,0.2
THUSAM-D-C-2A,0017,0.0,0.0,0.0
THUSAM-D-C-2A,0018,0.394,0.6887,1.0
THUSAM-D-C-2A,0019,0.2137,0.359,0.5
THUSAM-D-C-2A,0020,0.2142,0.4271,0.6667
THUSAM-D-C-2A,0021,0.1296,0.5693,1.0
THUSAM-D-C-2A,0022,0.1215,0.1932,0.25
THUSAM-D-C-2A,0023,0.0,0.0,0.0
THUSAM-D-C-2A,0024,0.2289,0.3603,0.5
THUSAM-D-C-2A,0025,0.146,0.3302,0.5
THUSAM-D-C-2A,0026,0.4943,0.7396,1.0
THUSAM-D-C-2A,0027,0.1383,0.5751,1.0
THUSAM-D-C-2A,0028,0.1728,0.5951,1.0
THUSAM-D-C-2A,0029,0.0351,0.2689,0.5
THUSAM-D-C-2A,0030,0.3226,0.5034,0.6667
THUSAM-D-C-2A,0031,0.0,0.0,0.0
THUSAM-D-C-2A,0032,0.271,0.4735,0.6667
FRDC-D-C-2A,0001,0.6694,0.6589,0.6667
FRDC-D-C-2A,0002,0.4332,0.7139,1.0
FRDC-D-C-2A,0003,0.0,0.0,0.0
FRDC-D-C-2A,0004,0.1665,0.3392,0.5
FRDC-D-C-2A,0005,0.0,0.0,0.0
FRDC-D-C-2A,0006,0.0,0.0,0.0
FRDC-D-C-2A,0007,0.0,0.0,0.0
