runname,id,nDCG@0020,D#nDCG@0020,I-rec@0020
THUSAM-D-C-1B,0012,0.6296,0.6676,0.6667
THUSAM-D-C-1B,0013,0.6319,0.8141,1.0
THUSAM-D-C-1B,0014,0.6931,0.6894,0.7
THUSAM-D-C-1B,0015,0.7066,0.8117,0.8889
THUSAM-D-C-1B,0016,0.7779,0.5761,0.3636
THUSAM-D-C-1B,0017,0.2308,0.2888,0.3333
THUSAM-D-C-1B,0018,0.6103,0.7355,0.875
THUSAM-D-C-1B,0019,0.6233,0.614,0.625
THUSAM-D-C-1B,0020,0.7176,0.8041,0.875
THUSAM-D-C-1B,0021,0.2911,0.4427,0.6
THUSAM-D-C-1B,0022,0.8229,0.7569,0.7
THUSAM-D-C-1B,0023,0.0,0.0,0.0
THUSAM-D-C-1B,0024,0.5267,0.6472,0.75
THUSAM-D-C-1B,0025,0.5322,0.751,1.0
THUSAM-D-C-1B,0026,0.704,0.7037,0.7273
THUSAM-D-C-1B,0027,0.8777,0.9378,1.0
THUSAM-D-C-1B,0028,0.4046,0.392,0.4
THUSAM-D-C-1B,0029,0.657,0.8219,1.0
THUSAM-D-C-1B,0030,0.58,0.5856,0.6
THUSAM-D-C-1B,0031,0.3367,0.439,0.5
THUSAM-D-C-1B,0032,0.6849,0.5408,0.3846
FRDC-D-C-4A,0001,0.2027,0.3065,0.4
FRDC-D-C-4A,0002,0.4206,0.6447,0.875
FRDC-D-C-4A,0003,0.0,0.0,0.0
FRDC-D-C-4A,0004,0.0,0.0,0.0
FRDC-D-C-4A,0005,0.0,0.0,0.0
FRDC-D-C-4A,0006,0.0,0.0,0.0
FRDC-D-C-4A,0007,0.0,0.0,0.0
FRDC-D-C-4A,0008,0.0,0.0,0.0
FRDC-D-C-4A,0009,0.0,0.0,0.0
FRDC-D-C-4A,0010,0.4916,0.3809,0.2857
FRDC-D-C-4A,0011,0.4417,0.4479,0.5
FRDC-D-C-4A,0012,0.0873,0.1043,0.1111
FRDC-D-C-4A,0013,0.9479,0.9724,1.0
FRDC-D-C-4A,0014,0.0,0.0,0.0
FRDC-D-C-4A,0015,0.2804,0.2432,0.2222
FRDC-D-C-4A,0016,0.0,0.0,0.0
FRDC-D-C-4A,0017,0.4529,0.4651,0.5
FRDC-D-C-4A,0018,0.0,0.0,0.0
FRDC-D-C-4A,0019,0.0,0.0,0.0
FRDC-D-C-4A,0020,0.0,0.0,0.0
FRDC-D-C-4A,0021,0.3084,0.3457,0.4
FRDC-D-C-4A,0022,0.395,0.2295,0.1
FRDC-D-C-4A,0023,0.0,0.0,0.0
FRDC-D-C-4A,0024,0.306,0.268,0.25
FRDC-D-C-4A,0025,0.0,0.0,0.0
FRDC-D-C-4A,0026,0.7392,0.5918,0.4545
FRDC-D-C-4A,0027,0.8483,0.9207,1.0
FRDC-D-C-4A,0028,0.3766,0.4702,0.6
FRDC-D-C-4A,0029,0.0,0.0,0.0
FRDC-D-C-4A,0030,0.6046,0.6482,0.7
FRDC-D-C-4A,0031,0.1163,0.1674,0.25
FRDC-D-C-4A,0032,0.4114,0.3093,0.2308
THUSAM-D-C-2A,0001,0.1752,0.4901,0.8
THUSAM-D-C-2A,0002,0.1046,0.234,0.375
THUSAM-D-C-2A,0003,0.0615,0.3345,0.6
THUSAM-D-C-2A,0004,0.1641,0.3013,0.4444
THUSAM-D-C-2A,0005,0.0127,0.0696,0.125
THUSAM-D-C-2A,0006,0.0264,0.0983,0.1667
THUSAM-D-C-2A,0007,0.0,0.0,0.0
THUSAM-D-C-2A,0008,0.128,0.5448,1.0
THUSAM-D-C-2A,0009,0.0873,0.3783,0.6667
THUSAM-D-C-2A,0010,0.2553,0.4851,0.7143
THUSAM-D-C-2A,0011,0.3964,0.5874,0.75
THUSAM-D-C-2A,0012,0.0726,0.0941,0.1111
THUSAM-D-C-2A,0013,0.2721,0.4759,0.6667
THUSAM-D-C-2A,0014,0.0759,0.0905,0.1
THUSAM-D-C-2A,0015,0.1063,0.1674,0.2222
THUSAM-D-C-2A,0016,0.0553,0.0736,0.0909
THUSAM-D-C-2A,0017,0.0,0.0,0.0
THUSAM-D-C-2A,0018,0.3642,0.4833,0.625
THUSAM-D-C-2A,0019,0.2145,0.2973,0.375
THUSAM-D-C-2A,0020,0.1566,0.1925,0.25
THUSAM-D-C-2A,0021,0.0946,0.2014,0.3
THUSAM-D-C-2A,0022,0.1648,0.1911,0.2
THUSAM-D-C-2A,0023,0.0,0.0,0.0
THUSAM-D-C-2A,0024,0.0997,0.1744,0.25
THUSAM-D-C-2A,0025,0.1177,0.2293,0.3333
THUSAM-D-C-2A,0026,0.4993,0.5665,0.6364
THUSAM-D-C-2A,0027,0.1552,0.3347,0.5
THUSAM-D-C-2A,0028,0.2026,0.2626,0.3
THUSAM-D-C-2A,0029,0.0315,0.0886,0.1429
THUSAM-D-C-2A,0030,0.199,0.2542,0.3
THUSAM-D-C-2A,0031,0.0,0.0,0.0
THUSAM-D-C-2A,0032,0.2078,0.302,0.3846
FRDC-D-C-2A,0001,0.585,0.6808,0.8
FRDC-D-C-2A,0002,0.3818,0.6259,0.875
FRDC-D-C-2A,0003,0.0,0.0,0.0
FRDC-D-C-2A,0004,0.1825,0.2635,0.3333
FRDC-D-C-2A,0005,0.0,0.0,0.0
FRDC-D-C-2A,0006,0.0,0.0,0.0
FRDC-D-C-2A,0007,0.0,0.0,0.0
FRDC-D-C-2A,0008,0.231,0.6266,1.0
FRDC-D-C-2A,0009,0.0,0.0,0.0
FRDC-D-C-2A,0010,0.4262,0.4274,0.4286
FRDC-D-C-2A,0011,0.4267,0.4414,0.5
FRDC-D-C-2A,0012,0.0873,0.1043,0.1111
FRDC-D-C-2A,0013,0.8908,0.9412,1.0
FRDC-D-C-2A,0014,0.0,0.0,0.0
FRDC-D-C-2A,0015,0.2804,0.2432,0.2222
FRDC-D-C-2A,0016,0.0,0.0,0.0
FRDC-D-C-2A,0017,0.4949,0.5126,0.5
FRDC-D-C-2A,0018,0.0,0.0,0.0
FRDC-D-C-2A,0019,0.0,0.0,0.0
FRDC-D-C-2A,0020,0.0,0.0,0.0
FRDC-D-C-2A,0021,0.2916,0.3394,0.4
FRDC-D-C-2A,0022,0.6199,0.4162,0.2
FRDC-D-C-2A,0023,0.0,0.0,0.0
FRDC-D-C-2A,0024,0.306,0.268,0.25
FRDC-D-C-2A,0025,0.0,0.0,0.0
FRDC-D-C-2A,0026,0.7792,0.6129,0.4545
FRDC-D-C-2A,0027,0.8516,0.9222,1.0
FRDC-D-C-2A,0028,0.3032,0.3816,0.5
FRDC-D-C-2A,0029,0.0,0.0,0.0
FRDC-D-C-2A,0030,0.4946,0.5876,0.7
FRDC-D-C-2A,0031,0.1163,0.1674,0.25
FRDC-D-C-2A,0032,0.4114,0.3093,0.2308
FRDC-D-C-3A,0001,0.5502,0.6769,0.8
FRDC-D-C-3A,0002,0.5853,0.7231,0.875
FRDC-D-C-3A,0003,0.0,0.0,0.0
FRDC-D-C-3A,0004,0.3439,0.4571,0.5556
FRDC-D-C-3A,0005,0.0281,0.0781,0.125
FRDC-D-C-3A,0006,0.0,0.0,0.0
FRDC-D-C-3A,0007,0.0,0.0,0.0
FRDC-D-C-3A,0008,0.231,0.6266,1.0
FRDC-D-C-3A,0009,0.0,0.0,0.0
FRDC-D-C-3A,0010,0.4908,0.4535,0.4286
FRDC-D-C-3A,0011,0.4827,0.4844,0.5
FRDC-D-C-3A,0012,0.0873,0.1043,0.1111
FRDC-D-C-3A,0013,0.9734,0.9865,1.0
FRDC-D-C-3A,0014,0.0,0.0,0.0
FRDC-D-C-3A,0015,0.2804,0.2432,0.2222
FRDC-D-C-3A,0016,0.0,0.0,0.0
FRDC-D-C-3A,0017,0.3409,0.4309,0.5
FRDC-D-C-3A,0018,0.0,0.0,0.0
FRDC-D-C-3A,0019,0.0,0.0,0.0
FRDC-D-C-3A,0020,0.0,0.0,0.0
FRDC-D-C-3A,0021,0.4595,0.5873,0.7
FRDC-D-C-3A,0022,0.6774,0.4365,0.2
FRDC-D-C-3A,0023,0.0,0.0,0.0
FRDC-D-C-3A,0024,0.306,0.268,0.25
FRDC-D-C-3A,0025,0.0,0.0,0.0
FRDC-D-C-3A,0026,0.8349,0.688,0.5455
FRDC-D-C-3A,0027,0.9068,0.9532,1.0
FRDC-D-C-3A,0028,0.4506,0.5096,0.6
FRDC-D-C-3A,0029,0.0,0.0,0.0
FRDC-D-C-3A,0030,0.6845,0.6903,0.7
FRDC-D-C-3A,0031,0.1163,0.1674,0.25
FRDC-D-C-3A,0032,0.4114,0.3093,0.2308
THUSAM-D-C-2B,0001,0.1737,0.4894,0.8
THUSAM-D-C-2B,0002,0.1046,0.234,0.375
THUSAM-D-C-2B,0003,0.0615,0.3345,0.6
THUSAM-D-C-2B,0004,0.1641,0.3013,0.4444
THUSAM-D-C-2B,0005,0.0143,0.0703,0.125
THUSAM-D-C-2B,0006,0.0264,0.0983,0.1667
THUSAM-D-C-2B,0007,0.0261,0.1145,0.2
THUSAM-D-C-2B,0008,0.128,0.5448,1.0
THUSAM-D-C-2B,0009,0.0873,0.3783,0.6667
THUSAM-D-C-2B,0010,0.2553,0.4851,0.7143
THUSAM-D-C-2B,0011,0.4074,0.5925,0.75
THUSAM-D-C-2B,0012,0.0987,0.1639,0.2222
THUSAM-D-C-2B,0013,0.2402,0.4583,0.6667
THUSAM-D-C-2B,0014,0.0736,0.0895,0.1
THUSAM-D-C-2B,0015,0.117,0.1714,0.2222
THUSAM-D-C-2B,0016,0.097,0.1411,0.1818
THUSAM-D-C-2B,0017,0.0,0.0,0.0
THUSAM-D-C-2B,0018,0.358,0.4803,0.625
THUSAM-D-C-2B,0019,0.2192,0.2995,0.375
THUSAM-D-C-2B,0020,0.1566,0.1925,0.25
THUSAM-D-C-2B,0021,0.0923,0.2003,0.3
THUSAM-D-C-2B,0022,0.1648,0.1911,0.2
THUSAM-D-C-2B,0023,0.0,0.0,0.0
THUSAM-D-C-2B,0024,0.0904,0.1709,0.25
