test25,test26,test32,
2,0,2,S
3,2,2,S
1,3,1,S
-2,-2,-1,S
1,-1,1,S
-2,1,1,S
3,0,0,F
-2,3,1,S
3,1,0,S
-2,0,0,S
-1,2,2,S
4,3,4,S
3,-1,1,S
3,0,0,F
1,-2,1,S
4,0,0,F
3,0,1,S
3,3,4,S
4,0,0,F
4,0,0,F
-2,-2,1,S
0,1,0,S
0,2,0,S
2,3,2,S
4,0,0,F
-2,-1,0,S
2,-2,-1,S
2,-2,-1,S
3,0,0,S
0,-2,-3,S
-1,1,0,S
4,3,0,S
0,0,0,F
4,1,3,S
3,1,2,S
2,-2,-2,S
4,2,3,S
4,1,0,F
3,0,-1,S
4,2,4,S
-2,-2,0,S
4,3,3,F
1,2,1,S
4,3,2,S
3,2,3,F
3,3,3,S
3,3,0,S
0,-3,-2,S
0,-2,0,S
-1,0,0,S
