test28,test29,test30
2,0,4,S
0,1,-1,S
0,0,0,F
2,0,2,S
-2,-3,-2,S
0,0,0,F
2,4,2,F
0,0,0,S
1,1,-1,S
1,2,1,S
-2,1,0,S
0,0,0,S
1,2,1,S
0,0,0,F
0,0,0,S
0,0,0,F
-2,-2,1,S
-2,2,0,S
0,0,0,F
0,0,0,F
2,2,1,S
-2,0,0,S
0,0,0,S
0,0,0,S
0,0,0,F
2,0,0,S
3,2,2,S
2,1,-1,S
0,0,0,S
-1,1,-2,S
0,0,0,S
0,0,0,S
0,0,0,F
0,0,0,S
2,0,0,S
-2,1,0,S
0,0,0,S
2,4,4,F
2,1,0,S
1,0,0,S
2,0,0,S
0,0,0,F
-2,2,1,S
-2,0,-1,S
0,0,0,F
2,-1,-1,S
2,3,2,S
-2,1,-2,S
0,-2,-1,S
-1,0,0,S
