test33,test8,test9,
1,0,-1,S
-1,-3,1,S
0,0,1,F
-2,0,-1,S
2,3,1,S
0,0,1,F
3,2,0,S
2,0,-2,S
2,-2,2,S
-2,-2,-1,S
2,0,2,S
2,2,3,S
-2,-1,2,S
0,0,2,F
1,-1,1,S
0,1,1,S
0,-2,2,S
3,2,2,S
0,0,2,F
0,0,1,F
-2,-2,-3,S
-2,-3,-2,S
4,2,0,S
2,2,2,S
0,0,1,F
-1,1,-2,S
-1,3,3,S
1,2,-2,S
0,2,2,S
-1,-2,1,S
3,2,2,S
2,3,2,S
0,0,0,F
3,1,2,S
1,2,4,S
1,2,2,S
4,2,2,S
4,2,3,S
0,3,2,S
3,2,1,S
1,-2,-1,S
4,3,2,S
1,-2,2,S
0,3,0,S
0,1,3,F
-3,-2,-2,S
0,-2,1,S
-1,-1,-2,S
-2,2,2,S
0,0,0,S
