test1,test6,test31,
-4,0,-4,S
0,1,-2,S
-1,0,-2,S
4,2,-1,S
4,0,-1,S
0,0,0,S
-4,-4,1,S
0,1,2,S
-1,2,-1,S
-4,1,-2,S
0,0,-4,S
-4,2,0,S
4,-1,3,S
0,2,3,S
4,1,3,S
-1,-2,-3,S
-4,0,0,S
4,4,-1,S
0,0,0,S
0,0,-4,S
0,4,-4,S
-4,-1,0,S
0,0,2,F
4,2,3,S
0,-2,2,S
-1,-2,0,S
4,-1,1,S
-4,-1,-1,S
4,-1,-1,S
0,1,-2,S
0,0,1,S
4,2,-2,S
0,0,0,S
4,0,1,S
-4,-2,-2,S
4,2,3,S
2,2,4,S
4,2,-3,S
0,1,3,S
4,2,0,S
0,-4,1,S
4,3,1,S
-1,-2,-3,S
1,-2,-4,S
4,-3,-2,S
0,-3,-3,S
4,2,-4,S
0,-1,-1,S
4,2,4,S
1,2,1,S
